,Rk,Team,G,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
0,1.0,Golden State Warriors,82,19705,3489,7208,0.484,243,750,0.324,3246,6458,0.503,2313,2858,0.809,915,2385,3300,1978,756,488,1415,2010,9534,116.3
1,2.0,Phoenix Suns*,82,19855,3544,7139,0.496,176,543,0.324,3368,6596,0.511,2159,2716,0.795,1053,2651,3704,2109,668,501,1275,1825,9423,114.9
2,3.0,Denver Nuggets*,82,19805,3716,8015,0.46399999999999997,228,677,0.337,3488,7338,0.475,1737,2201,0.789,1169,2532,3701,2275,814,329,1136,2047,9397,114.6
3,4.0,Portland Trail Blazers*,82,19880,3572,7547,0.473,190,565,0.336,3382,6982,0.484,2031,2734,0.743,1355,2552,3907,2085,749,364,1356,2048,9365,114.2
4,5.0,Orlando Magic,82,19805,3457,7525,0.45899999999999996,116,393,0.295,3341,7132,0.46799999999999997,2060,2725,0.7559999999999999,1304,2465,3769,1993,617,294,1407,1975,9090,110.9
5,6.0,Los Angeles Lakers*,82,19855,3434,7010,0.49,309,841,0.36700000000000005,3125,6169,0.507,1902,2417,0.787,1097,2460,3557,2232,655,445,1226,1737,9079,110.7
6,7.0,Philadelphia 76ers*,82,19805,3437,7028,0.489,189,543,0.348,3248,6485,0.501,1976,2509,0.7879999999999999,1111,2406,3517,1932,687,365,1209,1697,9039,110.2
7,8.0,Boston Celtics*,82,19705,3563,7148,0.498,106,404,0.262,3457,6744,0.513,1791,2153,0.8320000000000001,1066,2707,3773,2423,539,455,1256,1717,9023,110.0
8,9.0,Chicago Bulls*,82,19830,3531,7090,0.498,250,669,0.374,3281,6421,0.511,1665,2140,0.778,1075,2279,3354,2172,814,388,1247,1906,8977,109.5
9,10.0,Indiana Pacers*,82,19880,3381,6807,0.49700000000000005,294,770,0.382,3087,6037,0.511,1906,2335,0.816,940,2388,3328,2023,552,350,1342,1972,8962,109.3
10,11.0,Atlanta Hawks,82,19730,3417,7019,0.48700000000000004,124,411,0.302,3293,6608,0.498,1943,2544,0.764,1273,2187,3460,1820,717,353,1270,1871,8901,108.5
11,12.0,New York Knicks*,82,19830,3434,7089,0.484,236,710,0.332,3198,6379,0.501,1775,2349,0.7559999999999999,1187,2426,3613,2140,714,492,1412,1828,8879,108.3
12,13.0,Washington Bullets,82,19830,3598,7581,0.475,37,197,0.188,3561,7384,0.48200000000000004,1599,2093,0.764,1198,2450,3648,2214,561,424,1201,1929,8832,107.7
13,14.0,Seattle SuperSonics,82,19905,3466,7243,0.479,231,650,0.355,3235,6593,0.491,1606,2167,0.741,1323,2255,3578,1874,701,335,1336,2064,8769,106.9
14,15.0,Utah Jazz*,82,19830,3330,6593,0.505,226,630,0.359,3104,5963,0.521,1874,2484,0.754,953,2501,3454,2212,677,491,1410,2031,8760,106.8
15,16.0,Houston Rockets*,82,19805,3483,7250,0.48,153,491,0.312,3330,6759,0.493,1633,2267,0.72,1217,2638,3855,2194,809,551,1513,1934,8752,106.7
16,17.0,San Antonio Spurs*,82,19730,3388,6997,0.484,54,226,0.239,3334,6771,0.49200000000000005,1888,2535,0.745,1163,2474,3637,2037,799,554,1399,1854,8718,106.3
17,18.0,Milwaukee Bucks*,82,19830,3380,7146,0.473,209,670,0.312,3171,6476,0.49,1722,2273,0.758,1108,2246,3354,2046,826,326,1315,2086,8691,106.0
18,19.0,Detroit Pistons*,82,19805,3333,6980,0.478,177,541,0.327,3156,6439,0.49,1713,2252,0.7609999999999999,1185,2458,3643,1996,512,418,1233,1961,8556,104.3
19,20.0,Los Angeles Clippers,82,19805,3319,6853,0.484,56,230,0.243,3263,6623,0.493,1815,2458,0.738,1056,2362,3418,1978,782,507,1547,1859,8509,103.8
